CODMESO;UF;REGIAO;MESOREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
1401;RR;N;NORTE DE RORAIMA;3,602254987;-61,56783917;0,712907447;ALTO;527.783;98.458;5,4
1402;RR;N;SUL DE RORAIMA;0,949095189;-61,40323685;0,631129893;MEDIO;108.520;125.188;0,9
4303;RS;S;CENTRO OCIDENTAL RIO-GRANDENSE;-29,43534577;-54,33672756;0,749274243;ALTO;529.866;25.943;20,4
4304;RS;S;CENTRO ORIENTAL RIO-GRANDENSE;-29,74181583;-52,5984605;0,734935234;ALTO;814.631;17.186;47,4
4305;RS;S;METROPOLITANA DE PORTO ALEGRE;-30,07149107;-51,14840547;0,750832036;ALTO;4.830.296;29.791;162,1
4302;RS;S;NORDESTE RIO-GRANDENSE;-28,82530075;-50,86543382;0,764948725;ALTO;1.134.161;25.883;43,8
4301;RS;S;NOROESTE RIO-GRANDENSE;-28,27638212;-53,25668298;0,743007685;ALTO;1.981.265;64.939;30,5
4307;RS;S;SUDESTE RIO-GRANDENSE;-31,46195085;-52,98881269;0,711194851;ALTO;891.595;42.217;21,1
4306;RS;S;SUDOESTE RIO-GRANDENSE;-30,21927357;-55,08485991;0,723478274;ALTO;698.692;62.664;11,1
4205;SC;S;GRANDE FLORIANOPOLIS;-27,61200701;-48,94808278;0,800159752;MUITO ALTO;1.326.903;7.359;180,3
4202;SC;S;NORTE CATARINENSE;-26,34229657;-49,83989438;0,78045033;ALTO;1.446.002;15.932;90,8
4201;SC;S;OESTE CATARINENSE;-26,91757158;-52,27299678;0,75703516;ALTO;1.357.869;27.317;49,7
4203;SC;S;SERRANA;-27,68843636;-50,40970656;0,726823136;ALTO;423.004;22.330;18,9
4206;SC;S;SUL CATARINENSE;-28,65435255;-49,54996265;0,761129607;ALTO;1.080.418;9.707;111,3
4204;SC;S;VALE DO ITAJAI;-27,05251288;-49,3750457;0,778664307;ALTO;1.975.405;13.089;150,9
2802;SE;NE;AGRESTE SERGIPANO;-10,66233772;-37,5267661;0,604232721;MEDIO;478.372;5.901;81,1
2803;SE;NE;LESTE SERGIPANO;-10,8270813;-37,26666814;0,682521348;MEDIO;1.491.960;8.716;171,2
2801;SE;NE;SERTAO SERGIPANO;-10,19621943;-37,56489439;0,573057908;BAIXO;239.226;7.319;32,7
3503;SP;SE;ARACATUBA;-21,15558321;-50,77200835;0,766688179;ALTO;737.670;16.763;44
3505;SP;SE;ARARAQUARA;-21,77701888;-48,24251466;0,780618889;ALTO;882.948;9.453;93,4
3510;SP;SE;ASSIS;-22,77509878;-50,13375749;0,758837975;ALTO;569.821;12.704;44,9
3504;SP;SE;BAURU;-22,53908407;-49,04148582;0,766848245;ALTO;1.551.729;26.704;58,1
3507;SP;SE;CAMPINAS;-22,28887883;-46,97724351;0,782348822;ALTO;4.184.228;14.233;294
3511;SP;SE;ITAPETININGA;-23,79991948;-48,59750958;0,730927627;ALTO;885.817;20.182;43,9
3514;SP;SE;LITORAL SUL PAULISTA;-24,46697864;-47,8055704;0,730587552;ALTO;516.594;13.206;39,1
3512;SP;SE;MACRO METROPOLITANA PAULISTA;-23,44773509;-47,21484445;0,774317862;ALTO;3.131.760;12.305;254,5
3509;SP;SE;MARILIA;-22,11160778;-50,17947792;0,777815433;ALTO;461.946;7.172;64,4
3515;SP;SE;METROPOLITANA DE SAO PAULO;-23,67011538;-46,55637556;0,788558062;ALTO;22.306.267;9.306;2397
3506;SP;SE;PIRACICABA;-22,60324559;-47,66644261;0,774080319;ALTO;1.513.282;9.050;167,2
3508;SP;SE;PRESIDENTE PRUDENTE;-21,94140926;-51,46069324;0,762950069;ALTO;872.485;24.039;36,3
3502;SP;SE;RIBEIRAO PRETO;-20,97428608;-47,9172826;0,769027044;ALTO;2.562.198;27.537;93
3501;SP;SE;SAO JOSE DO RIO PRETO;-20,74869596;-49,77110131;0,768724412;ALTO;1.737.661;29.396;59,1
3513;SP;SE;VALE DO PARAIBA PAULISTA;-23,07389992;-45,22714908;0,780501263;ALTO;2.506.053;16.175;154,9
1701;TO;N;OCIDENTAL DO TOCANTINS;-10,44451141;-48,9876308;0,686187834;MEDIO;910.717;155.823;5,8
1702;TO;N;ORIENTAL DO TOCANTINS;-10,69074113;-47,31233099;0,721978966;ALTO;600.742;121.601;4,9
;;;;;;;;;;
;;;;;;;;;;
