,eleicao,codmun,vencedor,vt_dir,vt_esq,qt_secoes,codmicro,codmeso,uf,regiao,lat,long,escala_idh,escala_dens
74,2018,1100338,DIREITA,8439,2511,57,110101,1101,RO,N,"-10,41177129","-65,32914902",BAIXA,MUITO BAIXA
75,2018,1100338,ESQUERDA,195,284,3,110101,1101,RO,N,"-10,41177129","-65,32914902",BAIXA,MUITO BAIXA
76,2022,1100338,DIREITA,10122,2709,59,110101,1101,RO,N,"-10,41177129","-65,32914902",BAIXA,MUITO BAIXA
77,2022,1100338,ESQUERDA,104,188,1,110101,1101,RO,N,"-10,41177129","-65,32914902",BAIXA,MUITO BAIXA
78,2018,1100346,DIREITA,4319,2342,30,110205,1102,RO,N,"-11,34413002","-62,27727487",MEDIA,MUITO BAIXA
79,2018,1100346,ESQUERDA,410,475,4,110205,1102,RO,N,"-11,34413002","-62,27727487",MEDIA,MUITO BAIXA
80,2022,1100346,DIREITA,5306,2933,34,110205,1102,RO,N,"-11,34413002","-62,27727487",MEDIA,MUITO BAIXA
81,2018,1100379,DIREITA,3724,2177,29,110206,1102,RO,N,"-12,13177722","-61,85307717",BAIXA,MUITO BAIXA
82,2018,1100379,ESQUERDA,66,67,1,110206,1102,RO,N,"-12,13177722","-61,85307717",BAIXA,MUITO BAIXA
83,2022,1100379,DIREITA,4237,1989,30,110206,1102,RO,N,"-12,13177722","-61,85307717",BAIXA,MUITO BAIXA
84,2018,1100403,DIREITA,5601,2119,41,110203,1102,RO,N,"-9,716666738","-63,31762943",MEDIA,MUITO BAIXA
85,2018,1100403,ESQUERDA,100,138,2,110203,1102,RO,N,"-9,716666738","-63,31762943",MEDIA,MUITO BAIXA
86,2022,1100403,DIREITA,6410,1995,43,110203,1102,RO,N,"-9,716666738","-63,31762943",MEDIA,MUITO BAIXA
87,2018,1100452,DIREITA,11572,3290,74,110101,1101,RO,N,"-10,20980541","-63,82967879",MEDIA,MUITO BAIXA
88,2018,1100452,ESQUERDA,110,127,1,110101,1101,RO,N,"-10,20980541","-63,82967879",MEDIA,MUITO BAIXA
89,2022,1100452,DIREITA,12479,3260,76,110101,1101,RO,N,"-10,20980541","-63,82967879",MEDIA,MUITO BAIXA
90,2018,1100502,DIREITA,3152,1995,30,110206,1102,RO,N,"-11,70974292","-61,99438766",MEDIA,MUITO BAIXA
91,2022,1100502,DIREITA,3422,1849,21,110206,1102,RO,N,"-11,70974292","-61,99438766",MEDIA,MUITO BAIXA
92,2018,1100601,DIREITA,1967,694,18,110203,1102,RO,N,"-10,33887284","-62,90318993",MEDIA,MUITO BAIXA
93,2022,1100601,DIREITA,2210,692,16,110203,1102,RO,N,"-10,33887284","-62,90318993",MEDIA,MUITO BAIXA
94,2018,1100700,DIREITA,3595,1789,27,110101,1101,RO,N,"-10,56841647","-63,62499143",BAIXA,MUITO BAIXA
95,2022,1100700,DIREITA,3904,1499,28,110101,1101,RO,N,"-10,56841647","-63,62499143",BAIXA,MUITO BAIXA
96,2018,1100809,DIREITA,6958,4265,56,110101,1101,RO,N,"-8,785020703","-63,70002007",MEDIA,MUITO BAIXA
97,2018,1100809,ESQUERDA,146,242,2,110101,1101,RO,N,"-8,785020703","-63,70002007",MEDIA,MUITO BAIXA
98,2022,1100809,DIREITA,7766,4528,57,110101,1101,RO,N,"-8,785020703","-63,70002007",MEDIA,MUITO BAIXA
99,2022,1100809,EMPATE,154,154,1,110101,1101,RO,N,"-8,785020703","-63,70002007",MEDIA,MUITO BAIXA
100,2022,1100809,ESQUERDA,181,205,2,110101,1101,RO,N,"-8,785020703","-63,70002007",MEDIA,MUITO BAIXA
101,2018,1100908,DIREITA,1250,875,12,110206,1102,RO,N,"-11,42684223","-61,9491612",MEDIA,MUITO BAIXA
102,2022,1100908,DIREITA,1356,862,12,110206,1102,RO,N,"-11,42684223","-61,9491612",MEDIA,MUITO BAIXA
103,2018,1100924,DIREITA,2910,1333,24,110207,1102,RO,N,"-12,55684076","-60,90184775",MEDIA,MUITO BAIXA
104,2018,1100924,ESQUERDA,147,171,2,110207,1102,RO,N,"-12,55684076","-60,90184775",MEDIA,MUITO BAIXA
105,2022,1100924,DIREITA,3352,1586,26,110207,1102,RO,N,"-12,55684076","-60,90184775",MEDIA,MUITO BAIXA
106,2018,1100940,DIREITA,4975,1775,35,110101,1101,RO,N,"-9,378193399","-62,58717453",MEDIA,MUITO BAIXA
107,2022,1100940,DIREITA,5818,1729,36,110101,1101,RO,N,"-9,378193399","-62,58717453",MEDIA,MUITO BAIXA
108,2018,1101005,DIREITA,2983,1330,26,110204,1102,RO,N,"-10,61207177","-62,74045764",BAIXA,MUITO BAIXA
109,2018,1101005,ESQUERDA,115,132,1,110204,1102,RO,N,"-10,61207177","-62,74045764",BAIXA,MUITO BAIXA
110,2022,1101005,DIREITA,3489,1371,27,110204,1102,RO,N,"-10,61207177","-62,74045764",BAIXA,MUITO BAIXA
111,2022,1101005,ESQUERDA,136,169,2,110204,1102,RO,N,"-10,61207177","-62,74045764",BAIXA,MUITO BAIXA
112,2018,1101104,DIREITA,2556,1534,24,110101,1101,RO,N,"-9,191871675","-63,18233702",MEDIA,MUITO BAIXA
113,2022,1101104,DIREITA,2736,1642,24,110101,1101,RO,N,"-9,191871675","-63,18233702",MEDIA,MUITO BAIXA
114,2018,1101203,DIREITA,2734,1381,23,110206,1102,RO,N,"-11,19623798","-61,51892193",MEDIA,MUITO BAIXA
115,2018,1101203,ESQUERDA,106,137,1,110206,1102,RO,N,"-11,19623798","-61,51892193",MEDIA,MUITO BAIXA
116,2022,1101203,DIREITA,2973,1569,19,110206,1102,RO,N,"-11,19623798","-61,51892193",MEDIA,MUITO BAIXA
117,2018,1101302,DIREITA,3521,2103,30,110204,1102,RO,N,"-11,04560929","-62,6694271",MEDIA,MUITO BAIXA
118,2018,1101302,ESQUERDA,22,55,1,110204,1102,RO,N,"-11,04560929","-62,6694271",MEDIA,MUITO BAIXA
119,2022,1101302,DIREITA,3930,2289,34,110204,1102,RO,N,"-11,04560929","-62,6694271",MEDIA,MUITO BAIXA
120,2022,1101302,ESQUERDA,56,64,1,110204,1102,RO,N,"-11,04560929","-62,6694271",MEDIA,MUITO BAIXA
121,2018,1101401,DIREITA,4750,1811,38,110203,1102,RO,N,"-10,26309776","-63,29555917",MEDIA,MUITO BAIXA
122,2022,1101401,DIREITA,5308,1763,38,110203,1102,RO,N,"-10,26309776","-63,29555917",MEDIA,MUITO BAIXA
123,2018,1101435,DIREITA,2106,1697,19,110204,1102,RO,N,"-10,91553204","-62,5550894",BAIXA,MUITO BAIXA
124,2022,1101435,DIREITA,2285,1754,19,110204,1102,RO,N,"-10,91553204","-62,5550894",BAIXA,MUITO BAIXA
